Variable,Variable Number,Topic,Topic Number,Subtopic,Subtopic Number,Survey Years,Availability,Description,Table Name,Type,Edit Flag Variable,Imputation Strategy,Response Codes,Question Text,Instrument Variable Name(s),Disclosure,Conditions in Universe,User Notes
SUITYRRND,1,Occupancy and Tenure,2,Seasonal and URE Characteristics,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this unit is suitable for year round use,HOUSEHOLD,Character,JSUITYRRND,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Does the construction and heating of this housing unit make it suitable for year round use?,YRRND,None,INTSTATUS in ('2' '3') and VACANCY in ('08' '09' '10' '11' 'M'),
PERMNEAR,2,Occupancy and Tenure,2,Seasonal and URE Characteristics,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this unit is within 150 miles of owners residence,HOUSEHOLD,Character,JPERMNEAR,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Is this unit within 150 miles of the owner's current residence?,S150MV,None,INTSTATUS in ('2' '3') and (VACPRIRES in ('1' '2' 'M') or VACREC in ('1' '2' 'M') or VACINVEST in ('1' '2' 'M') or VACSELL in ('1' '2' 'M') or VACINHER in ('1' '2' 'M') or VACOTH in ('1' '2' 'M')),
VACRESDAYS,3,Occupancy and Tenure,2,Seasonal and URE Characteristics,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Number of nights owner spends at this unit,HOUSEHOLD,Character,JVACRESDAYS,Coming soon,1: 0 to 2 nights||2: 3 to 7 nights||3: 8 or more nights||M or -9: Not reported||N or -6: Not applicable,"In the past year, how many nights did the owner(s) stay in this unit?",SNITEV,None,(INTSTATUS = '2' and VACANCY in ('01' '02' '03' '04' '05' '06' '07' '08' '09' '10' 'M')) or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10')),
VACRNTDAYS,4,Occupancy and Tenure,2,Seasonal and URE Characteristics,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Number of nights this unit was rented out,HOUSEHOLD,Character,JVACRNTDAYS,Coming soon,1: 0 to 2 nights||2: 3 to 7 nights||3: 8 or more nights||M or -9: Not reported||N or -6: Not applicable,"In the past year, how many nights was this unit rented out?",SRENTV,None,INTSTATUS in ('2' '3') and VACRESDAYS in ('1' '2' '3' 'M'),
VACPRIRES,5,Occupancy and Tenure,2,Seasonal and URE Characteristics,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this was a previous usual residence,HOUSEHOLD,Character,JVACPRIRES,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Which of the following reasons is why the owner owns this unit? (Mark all that apply),WHYOWN,None,(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10')),"Starting in 2015, these answer categories for WHYOWN were randomized in the Instrument"
VACREC,6,Occupancy and Tenure,2,Seasonal and URE Characteristics,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this unit is used for recreational purposes,HOUSEHOLD,Character,JVACREC,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Which of the following reasons is why the owner owns this unit? (Mark all that apply),WHYOWN,None,(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10')),"Starting in 2015, these answer categories for WHYOWN were randomized in the Instrument"
VACINVEST,7,Occupancy and Tenure,2,Seasonal and URE Characteristics,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this unit is used for investment purposes,HOUSEHOLD,Character,JVACINVEST,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Which of the following reasons is why the owner owns this unit? (Mark all that apply),WHYOWN,None,(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10')),"Starting in 2015, these answer categories for WHYOWN were randomized in the Instrument"
VACSELL,8,Occupancy and Tenure,2,Seasonal and URE Characteristics,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating the owner wishes to sell this unit, but has not been able to do so",HOUSEHOLD,Character,JVACSELL,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Which of the following reasons is why the owner owns this unit? (Mark all that apply),WHYOWN,None,(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10')),"Starting in 2015, these answer categories for WHYOWN were randomized in the Instrument"
VACINHER,9,Occupancy and Tenure,2,Seasonal and URE Characteristics,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this unit was inherited,HOUSEHOLD,Character,JVACINHER,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Which of the following reasons is why the owner owns this unit? (Mark all that apply),WHYOWN,None,(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10')),"Starting in 2015, these answer categories for WHYOWN were randomized in the Instrument"
VACOTH,10,Occupancy and Tenure,2,Seasonal and URE Characteristics,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this unit is owned for some other reason,HOUSEHOLD,Character,JVACOTH,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Which of the following reasons is why the owner owns this unit? (Mark all that apply),WHYOWN,None,(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10')),
OCCYRRND,1,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied year-round,HOUSEHOLD,Character,JOCCYRRND,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCJANUR,2,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in January,HOUSEHOLD,Character,JOCCJANUR,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCFEBRU,3,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in February,HOUSEHOLD,Character,JOCCFEBRU,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCMARCH,4,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in March,HOUSEHOLD,Character,JOCCMARCH,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCAPRIL,5,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in April,HOUSEHOLD,Character,JOCCAPRIL,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCMAY,6,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in May,HOUSEHOLD,Character,JOCCMAY,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCJUNE,7,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in June,HOUSEHOLD,Character,JOCCJUNE,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCJULY,8,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in July,HOUSEHOLD,Character,JOCCJULY,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCAUGUST,9,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in August,HOUSEHOLD,Character,JOCCAUGUST,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCSEPTEM,10,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in September,HOUSEHOLD,Character,JOCCSEPTEM,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCOCTOB,11,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in October,HOUSEHOLD,Character,JOCCOCTOB,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCNOVEM,12,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in November,HOUSEHOLD,Character,JOCCNOVEM,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
OCCDECEM,13,Occupancy and Tenure,2,Months Occupied,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is typically occupied in December,HOUSEHOLD,Character,JOCCDECEM,Coming soon,1: Yes||2: No||N or -6: Not applicable,During what months is this unit occupied during a typical year? (Mark all that apply),MOSOCC,None,INTSTATUS in ('2' '3'),
BLD,1,Structural,3,General,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Type of housing unit,HOUSEHOLD,Character,JBLD,Coming soon,"01: Mobile home or trailer||02: One-family house, detached||03: One-family house, attached||04: 2 apartments||05: 3 to 4 apartments||06: 5 to 9 apartments||07: 10 to 19 apartments||08: 20 to 49 apartments||09: 50 or more apartments||10: Boat, RV, van, etc.",See User Notes,See User Notes,Collapsed,INTSTATUS in ('1' '2' '3'),"BLD is determined using information from multiple items, including HTYPE, ISTYPE, and NUNITS."
NUNITS,2,Structural,3,General,1,"2019 National, 2019 Metro",IUF Only,Number of units in building,HOUSEHOLD,Numeric,JNUNITS,Coming soon,1 : 997: 1 to 997 apartments||998: 998 apartments or more,How many apartments are in the building?,NUNITS1,Withheld,INTSTATUS in ('1' '2' '3'),"NUNITS2 (Including occupied and vacant units, what is your best guess?) is asked if the respondent does not answer NUNITS1."
YRBUILT,3,Structural,3,General,1,"2019 National, 2017 National, 2015 National",PUF,Year unit was built,HOUSEHOLD,Numeric,JYRBUILT,Coming soon,2010 : 2019: 2010 to 2019||2000: 2000 to 2009||1990: 1990 to 1999||1980: 1980 to 1989||1970: 1970 to 1979||1960: 1960 to 1969||1950: 1950 to 1959||1940: 1940 to 1949||1930: 1930 to 1939||1920: 1920 to 1929||1919: 1919 or earlier,See User Notes,See User Notes,Collapsed,INTSTATUS in ('1' '2' '3'),"Internal users have access to YRBUILT_IUF, which uses five-year categories rather than decades for values in the range of 1980-2009. The year the unit was built may be determined using multiple items. The respondent is first asked for the year (BUILTQ), but if they don't know they are asked what decade (DECADEQ), and may also be asked how many years old the building is (YRSOLD)."
YRBUILT,3,Structural,3,General,1,2019 Metro,PUF,Year unit was built,HOUSEHOLD,Numeric,JYRBUILT,Coming soon,2010: 2010 to 2019||2000: 2000 to 2009||1990: 1990 to 1999||1980: 1980 to 1989||1970: 1970 to 1979||1960: 1960 to 1969||1950: 1950 to 1959||1940: 1940 to 1949||1930: 1930 to 1939||1920: 1920 to 1929||1919: 1919 or earlier,See User Notes,See User Notes,Collapsed,INTSTATUS in ('1' '2' '3'),"For disclosure reasons YRBUILT is a categorical value; internal data users may want to use YRBUILT_IUF. The year the unit was built may be determined using multiple items. The respondent is first asked for the year (BUILTQ), but if they don't know they are asked what decade (DECADEQ), and may also be asked how many years old the building is (YRSOLD)."
YRBUILT_IUF,4,Structural,3,General,1,"2019 National, 2019 Metro",IUF Only,Year unit was built,HOUSEHOLD,Numeric,JYRBUILT_IUF,Coming soon,2010 : 2019: 2010 to 2019||2005: 2005 to 2009||2000: 2000 to 2004||1995: 1995 to 1999||1990: 1990 to 1994||1985: 1985 to 1989||1980: 1980 to 1984||1970: 1970 to 1979||1960: 1960 to 1969||1950: 1950 to 1959||1940: 1940 to 1949||1930: 1930 to 1939||1920: 1920 to 1929||1919: 1919 and earlier,See User Notes,See User Notes,Withheld,INTSTATUS in ('1' '2' '3'),YRBUILT_IUF is only present on the IUF. See User Notes for YRBUILT.
GUTREHB,5,Structural,3,General,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit has undergone a gut rehabilitation in the last 10 years,HOUSEHOLD,Character,JGUTREHB,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Gut rehabilitation is defined as the general replacement of the interior of a building including the HVAC, plumbing and electrical components. Has this housing unit undergone a gut rehabilitation in the last 10 years?",GUTREHB,None,INTSTATUS = '1' and TENURE = '1' and YRBUILT_IUF < (20XX - 10),
LOTSIZE,1,Structural,3,Exterior Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Lot size (acres),HOUSEHOLD,Character,JLOTSIZE,Coming soon,1: Less than 1/8 acre||2: 1/8 up to 1/4 acre||3: 1/4 up to 1/2 acre||4: 1/2 up to 1 acre||5: 1 up to 5 acres||6: 5 up to 10 acres||7: 10 acres or more||N or -6: Not applicable,See User Notes,See User Notes,Collapsed,INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03' '10') and CONDO <> '1' and COOP <> '1',"For disclosure reasons LOTSIZE is a categorical value; internal data users may want to use LOTSIZE_IUF. LOTSIZE may be determined using multiple items. The respondent may reply in either square feet, feet, or acres. If the respondent is uncertain the dimensions of the lot are asked. LOTSIZE is not asked of condominiums, cooperatives, or multi-family units because the lot for these types of units is typically shared community space."
